epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,2645.02,0.24897,2.16637,0.15925,0.21802,1.01075,1,1,0.995,0.95302,1,1,0.995,0.58971,0.36556,1.49418,0.14194,0.31404,0.6837,0.00160004,0.00160004,0.00160004
103,2668.91,0.24921,2.2146,0.16612,0.21941,0.97502,0.99848,1,0.995,0.96512,0.99848,1,0.995,0.62507,0.40666,1.78602,0.14255,0.27083,0.71071,0.00159608,0.00159608,0.00159608
104,2696.56,0.23336,2.04539,0.1589,0.21196,0.97909,0.99851,1,0.995,0.97292,0.99851,1,0.995,0.55433,0.3041,1.76244,0.13049,0.24123,0.60139,0.00159212,0.00159212,0.00159212
105,2722.78,0.2206,2.08799,0.16447,0.20937,0.98051,0.99851,1,0.995,0.97351,0.99851,1,0.995,0.66969,0.32112,1.43415,0.1339,0.27182,0.62147,0.00158816,0.00158816,0.00158816
106,2751.63,0.22589,1.98546,0.15886,0.21969,0.971,0.99831,1,0.995,0.95477,0.99831,1,0.995,0.48041,0.33687,1.73439,0.13605,0.25943,0.65837,0.0015842,0.0015842,0.0015842
107,2776.57,0.23549,2.03852,0.16775,0.2131,0.97006,0.99843,1,0.995,0.96961,0.99843,1,0.995,0.67681,0.35882,1.11168,0.13572,0.27919,0.64866,0.00158024,0.00158024,0.00158024
108,2805.2,0.21651,2.02948,0.15707,0.21113,0.95217,0.99846,1,0.995,0.97955,0.99846,1,0.995,0.65761,0.30496,1.39519,0.13643,0.29307,0.58815,0.00157628,0.00157628,0.00157628
109,2837.01,0.21738,2.02435,0.16065,0.21388,0.97059,0.99846,1,0.995,0.97179,0.91101,0.91176,0.89708,0.37801,0.32464,2.53692,0.1362,0.25116,0.60482,0.00157232,0.00157232,0.00157232
110,2860.63,0.21393,1.93274,0.16195,0.22256,0.98696,0.99842,1,0.995,0.97873,0.93969,0.94118,0.90641,0.47543,0.31464,1.91696,0.12531,0.25478,0.61533,0.00156836,0.00156836,0.00156836
111,2884.27,0.21463,1.87745,0.15139,0.21876,0.97037,0.99837,1,0.995,0.98139,0.969,0.97059,0.97506,0.54667,0.34838,1.49313,0.1283,0.23,0.64712,0.0015644,0.0015644,0.0015644
112,2908.45,0.21145,1.86575,0.15865,0.21563,0.95305,0.99828,1,0.995,0.97274,0.99828,1,0.995,0.62548,0.34209,1.83367,0.12699,0.25044,0.63645,0.00156044,0.00156044,0.00156044
113,2932.29,0.2174,1.9493,0.15801,0.2091,0.97207,0.99851,1,0.995,0.98567,0.99851,1,0.995,0.62382,0.36823,1.29013,0.12976,0.265,0.64405,0.00155648,0.00155648,0.00155648
114,2956.27,0.21232,1.90013,0.16163,0.2037,0.96449,0.9985,1,0.995,0.98663,0.9985,1,0.995,0.63818,0.33999,1.16259,0.13049,0.24457,0.61243,0.00155252,0.00155252,0.00155252
115,2979.9,0.19516,1.80415,0.16096,0.18568,0.95143,0.99847,1,0.995,0.97718,0.96928,0.97059,0.98386,0.50276,0.33146,2.29769,0.12603,0.24335,0.61596,0.00154856,0.00154856,0.00154856
116,3003.88,0.20181,1.76631,0.15608,0.19687,0.96301,0.99846,1,0.995,0.98785,0.99846,1,0.995,0.61017,0.33772,1.24779,0.13075,0.21087,0.61092,0.0015446,0.0015446,0.0015446
117,3027.83,0.21328,1.71985,0.15803,0.19574,0.96319,0.99844,1,0.995,0.98102,0.93971,0.94118,0.92882,0.40704,0.36189,2.42429,0.12481,0.23766,0.65748,0.00154064,0.00154064,0.00154064
